id,label,hemisphere,structure,x,y,z
1,lateralorbitofrontal_rh,R,cortex,23.771642619311876,30.818534961154285,-19.161487236403993
2,parsorbitalis_rh,R,cortex,42.405412054120546,41.069126691266916,-13.851660516605165
3,frontalpole_rh,R,cortex,7.003679175864605,66.01766004415012,-12.869757174392937
4,medialorbitofrontal_rh,R,cortex,5.309472781825974,37.757536790970136,-17.029147021003
5,parstriangularis_rh,R,cortex,47.72293832293832,31.803742203742217,2.20471240471241
6,parsopercularis_rh,R,cortex,47.7099907493062,15.363552266419987,13.440178846746846
7,rostralmiddlefrontal_rh,R,cortex,32.8793037048448,46.78113687129323,16.67006855118231
8,superiorfrontal_rh,R,cortex,11.180763324043,29.787270348671854,42.677066150958424
9,caudalmiddlefrontal_rh,R,cortex,36.26102627335672,10.9511524234089,47.70368965190174
10,precentral_rh,R,cortex,40.82031290074377,-7.954603744549885,43.553526545268014
11,paracentral_rh,R,cortex,6.848591035187624,-26.48299021755001,58.21594393342093
12,rostralanteriorcingulate_rh,R,cortex,4.556745182012847,36.72876516773732,3.8301213418986464
13,caudalanteriorcingulate_rh,R,cortex,4.387825421133229,20.625574272588068,26.035222052067382
14,posteriorcingulate_rh,R,cortex,4.935470779220779,-17.923701298701303,37.51603084415585
15,isthmuscingulate_rh,R,cortex,6.692863093585117,-44.988058872535404,19.091085809497358
16,postcentral_rh,R,cortex,45.4462385321101,-21.55067889908257,44.15038532110091
17,supramarginal_rh,R,cortex,54.2811987081061,-36.25509609784508,32.25710806374755
18,superiorparietal_rh,R,cortex,23.127201565557726,-64.99325368215058,50.78519929961891
19,inferiorparietal_rh,R,cortex,43.06457604895104,-68.4524694055944,31.086156031468533
20,precuneus_rh,R,cortex,9.065459146300853,-58.69720982886062,37.32856096424052
21,cuneus_rh,R,cortex,6.555906221821459,-79.96415689810641,19.554779080252473
22,pericalcarine_rh,R,cortex,10.40192926045016,-82.27974276527331,5.818971061093251
23,lateraloccipital_rh,R,cortex,31.444740605903007,-88.54290729424002,0.46528409829670636
24,lingual_rh,R,cortex,13.279337273111011,-68.766146053187,-5.141831996623054
25,fusiform_rh,R,cortex,34.71427582866238,-41.01522385994049,-23.779046432772816
26,parahippocampal_rh,R,cortex,23.389036924248188,-30.969927674153027,-18.49866768176627
27,entorhinal_rh,R,cortex,23.47837960855712,-5.08602639963587,-33.27355484751934
28,temporalpole_rh,R,cortex,28.97678331090175,13.830080753701225,-36.882234185733516
29,inferiortemporal_rh,R,cortex,51.4322725811636,-32.65220186435229,-25.70157505625201
30,middletemporal_rh,R,cortex,57.62245224629174,-23.74581154625973,-15.233006082595239
31,bankssts_rh,R,cortex,52.823927765237016,-43.344727507255726,7.764592067075142
32,superiortemporal_rh,R,cortex,53.55297795327411,-8.308105736536135,-6.64050674564001
33,transversetemporal_rh,R,cortex,45.32050545663412,-19.98276852383688,7.342331993107408
34,insula_rh,R,cortex,36.46620486985725,1.101595298068844,-1.3777287993282954
35,thalamusproper_rh,R,subcortex,11.3301592797784,-18.54657202216066,6.135301246537395
36,caudate_rh,R,subcortex,13.015600070909414,8.54493884063109,9.1893281333097
37,putamen_rh,R,subcortex,24.722905027932967,1.2556176288019856,-1.6754810676598453
38,pallidum_rh,R,subcortex,19.24887800897592,-4.606283149734793,-1.7152182782537722
39,accumbensarea_rh,R,subcortex,7.679586563307495,10.81589147286823,-9.75516795865633
40,hippocampus_rh,R,subcortex,26.084743179393385,-22.91860996799268,-14.552659655540317
41,amygdala_rh,R,subcortex,22.923242247466987,-3.439668406509071,-20.768805649370584
42,lateralorbitofrontal_lh,L,cortex,-25.037292441702206,31.420107068324114,-18.80373831775701
43,parsorbitalis_lh,L,cortex,-43.953972442099094,40.45880973321607,-14.322486074464969
44,frontalpole_lh,L,cortex,-7.573858549686662,66.47358997314234,-11.615040286481644
45,medialorbitofrontal_lh,L,cortex,-5.9368063014679535,38.93465807375583,-19.101503759398497
46,parstriangularis_lh,L,cortex,-48.192346766000675,32.741788012190995,-0.2250253979004384
47,parsopercularis_lh,L,cortex,-49.22542679772375,17.071391619244707,13.075530263838587
